#{"t_start": 1765087952.0748706, "env_id": "None"}
r,l,t
0.0013861252,70,0.864259
-1.3866564e-05,70,0.8643
0.00047797384,70,0.864311
0.00062446593,70,0.864319
0.0009730748,70,0.864326
0.0014238532,70,0.864332
0.00079279236,70,0.864338
0.0001859496,70,0.864345
0.0007090145,70,1.685996
0.0005282536,70,1.686038
0.00028616854,70,1.68605
9.730811e-05,70,1.686057
0.0046981974,70,1.686064
-1.7874427e-05,70,1.686071
0.00910354,70,1.686077
0.0005446703,70,1.686083
0.015756331,70,2.519932
4.8854865e-05,70,2.519973
0.011962463,70,2.519984
0.0050477153,70,2.519992
-2.6181664e-05,70,2.519999
0.0017604156,70,2.520006
0.0010299288,70,2.520012
0.005346035,70,2.520018
0.0034994562,70,3.448149
-1.6364931e-05,70,3.448195
-1.6414104e-05,70,3.44821
0.0064335247,70,3.448221
-9.146281e-06,70,3.448232
0.0011871101,70,3.448241
0.001146887,70,3.448249
0.004648543,70,3.448258
0.0008379817,70,4.290517
0.009619422,70,4.290556
0.001035276,70,4.290571
0.0019375989,70,4.290582
0.0026987414,70,4.290592
0.0013343862,70,4.2906
0.00086658227,70,4.290609
0.0002795378,70,4.290618
0.002684862,70,5.110093
0.0018689464,70,5.110132
0.0005826618,70,5.110151
0.0074331155,70,5.110166
0.0021941143,70,5.110176
0.0028317412,70,5.110185
0.0014172842,70,5.110193
0.0013883545,70,5.110202
0.00015768447,70,5.919314
0.00021160705,70,5.919354
0.00017437727,70,5.919376
0.0017398511,70,5.919393
0.0020460922,70,5.919412
0.00024823679,70,5.919423
0.0012250425,70,5.919433
0.0014955834,70,5.919443
0.01721764,70,6.818396
0.0048626754,70,6.818436
0.0004250797,70,6.818453
0.00093782763,70,6.818473
3.1812546e-05,70,6.818485
0.0018244174,70,6.818495
0.00094535144,70,6.818505
0.019414425,70,6.818515
0.0023431128,70,7.623105
0.0013035585,70,7.623149
0.01054424,70,7.623161
0.008334598,70,7.623169
0.00031905097,70,7.623177
-1.8901981e-05,70,7.623184
0.0008629141,70,7.623192
0.0008888814,70,7.623199
0.00019831663,70,8.415298
0.0003212869,70,8.415338
0.00056479184,70,8.415349
-9.751489e-06,70,8.415358
0.0020314127,70,8.415366
0.000660098,70,8.415374
0.0014170167,70,8.415381
0.0014341195,70,8.415388
1.2628321e-05,70,9.335034
0.0013761744,70,9.33508
-8.140444e-05,70,9.335097
0.005986806,70,9.335107
0.0025276828,70,9.335116
0.0005128071,70,9.335125
0.0011934772,70,9.335133
0.0006975543,70,9.335141
0.00384023,70,10.156449
0.00014058157,70,10.1565
0.0010985578,70,10.156513
0.00014574194,70,10.156521
0.0009863402,70,10.156529
0.00020776893,70,10.156537
0.00044417006,70,10.156544
0.0010161989,70,10.156551
0.0022410823,70,10.972235
0.00059230067,70,10.972281
0.00085628685,70,10.972293
0.0016595426,70,10.972301
0.0050107026,70,10.972309
0.00038099883,70,10.972317
0.00024955743,70,10.972323
0.0017787258,70,10.972331
0.00017616301,70,11.794246
-9.996475e-07,70,11.794284
0.0013199223,70,11.794297
0.0011174009,70,11.794306
0.008256495,70,11.794314
0.0010490961,70,11.794321
0.0011442767,70,11.794329
0.009145992,70,11.794336
0.00020527275,70,12.696701
0.0011715891,70,12.696748
0.007703278,70,12.696759
0.0012410794,70,12.696768
0.0010528748,70,12.696776
0.00020964655,70,12.696783
0.0005740203,70,12.69679
0.0007043825,70,12.696798
0.0013386472,70,13.526697
0.00073097774,70,13.526741
0.0018585532,70,13.526754
0.0006215676,70,13.526762
0.0025682524,70,13.526771
1.3777011e-05,70,13.526778
0.00026326784,70,13.526785
0.0011881855,70,13.526792
0.00035858748,70,14.376583
0.002476837,70,14.376626
0.0015713746,70,14.384435
0.00259867,70,14.384467
0.0025763344,70,14.384483
0.00037768672,70,14.384494
0.0007999226,70,14.384503
0.0018931562,70,14.384512
0.0013228673,70,15.209581
3.905331e-05,70,15.209628
0.0017833804,70,15.20964
0.0010322116,70,15.209648
0.001575026,70,15.209656
0.00040963804,70,15.209663
0.00041090764,70,15.209671
0.00037391108,70,15.209678
0.0013046965,70,16.111309
0.0011587174,70,16.111354
0.0020008436,70,16.111366
0.0016814468,70,16.111376
0.0009310774,70,16.111383
0.00037652013,70,16.111391
-1.5840887e-05,70,16.111398
0.0009773712,70,16.111406
0.0012385782,70,16.953454
0.0035541947,70,16.95351
0.0073254053,70,16.953522
0.0008936948,70,16.95353
0.00042560615,70,16.953536
0.0045270906,70,16.953543
0.0010988552,70,16.953548
0.00013230975,70,16.953555
0.00034641908,70,17.79064
0.0122117,70,17.790686
0.001232667,70,17.790698
0.0018491467,70,17.790705
0.004137256,70,17.790712
0.00047279993,70,17.790718
0.003072768,70,17.790724
0.00045819455,70,17.79073
0.0006238891,70,18.726197
0.0012985794,70,18.726238
0.0025273035,70,18.726249
0.00054081064,70,18.726257
0.000397183,70,18.726264
8.302043e-05,70,18.72627
0.0010021057,70,18.726277
0.0009344083,70,18.726283
0.003192708,70,19.563565
0.00051721814,70,19.563606
0.00081590994,70,19.563617
0.0011488718,70,19.563624
0.00085365144,70,19.563631
0.008039207,70,19.563637
0.002849784,70,19.563644
0.0047696484,70,19.56365
0.0015707817,70,20.407675
0.0010061425,70,20.407718
0.0010058272,70,20.40773
0.00022852953,70,20.407737
0.00072673254,70,20.407744
0.00027584992,70,20.40775
0.00024304789,70,20.407756
0.0010507735,70,20.407762
0.00027205478,70,21.246819
0.0014360736,70,21.246861
0.006083131,70,21.246872
0.0002789576,70,21.24688
0.00053264573,70,21.246886
0.0019398045,70,21.246893
0.00959051,70,21.246899
0.001270496,70,21.246905
0.0021393963,70,22.197338
0.0007760464,70,22.197387
0.0033761708,70,22.1974
0.0010225696,70,22.197409
0.000556347,70,22.197417
-2.037425e-05,70,22.197424
0.0013934171,70,22.197432
0.00075950625,70,22.197439
0.0004789583,70,23.0497
0.0010157109,70,23.049741
0.00060966663,70,23.049753
0.00023288155,70,23.049762
0.0008276963,70,23.04977
0.0007825761,70,23.049777
0.00076650287,70,23.049785
0.0012346506,70,23.049792
0.0011781511,70,23.876848
-1.128388e-05,70,23.876891
