#{"t_start": 1765088727.0576653, "env_id": "None"}
r,l,t
0.00016085122,70,0.813261
3.7033033e-07,70,0.813303
3.0805095e-05,70,0.813314
9.873853e-05,70,0.813321
0.00071723876,70,0.813328
0.00019849947,70,0.813334
0.00013908376,70,0.81334
6.298005e-05,70,0.813346
9.307594e-05,70,1.616079
5.4732962e-05,70,1.616123
9.0888105e-05,70,1.616134
2.1222015e-05,70,1.616141
0.0025080738,70,1.616147
-2.3553393e-06,70,1.616154
0.0033246716,70,1.61616
2.0323747e-05,70,1.616166
0.007951765,70,2.442227
2.2547687e-05,70,2.442267
0.00581398,70,2.442278
0.0013790755,70,2.442286
1.6924147e-05,70,2.442292
0.0003298605,70,2.442299
0.000102413054,70,2.442305
0.002647074,70,2.442311
0.0005830317,70,3.354847
-1.530855e-06,70,3.354892
-6.745169e-06,70,3.354904
0.0039074747,70,3.354913
6.3706457e-06,70,3.354921
0.0014955186,70,3.354928
9.7630385e-05,70,3.354935
0.00090030296,70,3.354942
0.00055479404,70,4.193184
0.026191324,70,4.193224
0.00014533807,70,4.193236
0.0002331879,70,4.193244
0.00082342204,70,4.193251
0.00019518804,70,4.193259
0.00011949415,70,4.193266
6.773113e-05,70,4.193272
0.00026647846,70,5.007428
0.0003921563,70,5.00747
7.945714e-05,70,5.007482
0.003529809,70,5.00749
0.0002736363,70,5.007499
0.0019941817,70,5.007506
0.00018423371,70,5.007513
0.00012298113,70,5.00752
4.010472e-05,70,5.822945
4.193632e-05,70,5.82299
5.2383817e-05,70,5.823002
0.0005722969,70,5.82301
0.00024417648,70,5.823018
6.820804e-05,70,5.823025
0.00015909738,70,5.823032
0.00023745938,70,5.823039
0.01625784,70,6.713234
0.0033275068,70,6.713276
4.496109e-05,70,6.713288
0.00012051749,70,6.713297
0.00015956722,70,6.713305
0.00025624098,70,6.713312
0.00020020088,70,6.71332
0.013021387,70,6.713328
0.005763614,70,7.591118
0.0013185544,70,7.591162
0.003178988,70,7.591175
0.0032478739,70,7.591184
3.946343e-05,70,7.591192
6.959509e-06,70,7.591199
0.00016866864,70,7.591206
8.440502e-05,70,7.591213
3.9728293e-05,70,8.396479
8.61392e-05,70,8.396518
5.1010888e-05,70,8.39653
-2.888155e-06,70,8.396538
0.00034068213,70,8.396546
6.658835e-05,70,8.396554
0.00014968995,70,8.396561
0.00021715579,70,8.396568
1.3232162e-05,70,9.32251
0.00014203126,70,9.322553
-3.7399095e-05,70,9.322566
0.003116524,70,9.322574
0.00038438264,70,9.322582
8.809131e-05,70,9.32259
0.00057465344,70,9.322598
7.402362e-05,70,9.322606
0.0012170308,70,10.214222
1.20285895e-05,70,10.214267
0.00019183104,70,10.22208
4.0178827e-05,70,10.222097
