#{"t_start": 1765088883.8691442, "env_id": "None"}
r,l,t
8.042723e-05,70,0.86868
-5.1792523e-07,70,0.868723
1.6281469e-05,70,0.868735
3.7865855e-05,70,0.868743
0.00016953496,70,0.868751
9.242053e-05,70,0.868758
5.3957763e-05,70,0.868765
1.4807804e-05,70,0.868772
3.9441722e-05,70,1.685872
2.2644128e-05,70,1.685914
2.4935438e-05,70,1.685926
6.2138943e-06,70,1.685935
0.00091325014,70,1.685942
-8.4964387e-07,70,1.68595
0.0015753773,70,1.685957
1.7071496e-05,70,1.685964
0.0039530736,70,2.506095
3.9688393e-06,70,2.506138
0.0027047761,70,2.50615
0.00064823776,70,2.506158
2.0891707e-07,70,2.506166
0.00014266427,70,2.506174
5.0447798e-05,70,2.506181
0.0010424851,70,2.506194
0.00029897975,70,3.422834
-7.303452e-07,70,3.422875
-1.2548245e-06,70,3.422888
0.0014735423,70,3.422896
1.7907286e-07,70,3.422903
0.0003172082,70,3.422911
5.600034e-05,70,3.422919
0.00046710734,70,3.422926
0.00013772657,70,4.240182
0.00671278,70,4.240229
6.454146e-05,70,4.240241
0.00012353624,70,4.24025
0.00031016915,70,4.240258
8.5553904e-05,70,4.240265
5.1246006e-05,70,4.240273
1.991818e-05,70,4.24028
0.0001505966,70,5.075867
0.00016028981,70,5.075911
3.320374e-05,70,5.075923
0.0014700026,70,5.075933
0.00013767749,70,5.075943
0.0006166004,70,5.07595
9.0411355e-05,70,5.075958
6.56049e-05,70,5.075967
9.655831e-06,70,5.89557
7.49671e-06,70,5.895609
1.384051e-05,70,5.895621
0.00020782917,70,5.89563
0.00012273359,70,5.895638
1.8901657e-05,70,5.895645
7.144568e-05,70,5.895652
0.00010115105,70,5.89566
0.006685613,70,6.806008
0.0011635829,70,6.806057
1.9428615e-05,70,6.80607
5.520303e-05,70,6.806079
1.4966239e-05,70,6.806088
0.00012411157,70,6.806096
7.486253e-05,70,6.806104
0.006178718,70,6.806112
0.0029241862,70,7.627351
0.0003037328,70,7.627392
0.0016534601,70,7.627405
0.0015001914,70,7.627414
1.4400129e-05,70,7.627423
-4.6373202e-08,70,7.627432
6.4637534e-05,70,7.62744
3.7493413e-05,70,7.627448
1.0932927e-05,70,8.444015
2.0600306e-05,70,8.444055
2.2580749e-05,70,8.444068
-5.7326406e-07,70,8.444078
0.00015984141,70,8.444086
2.9096369e-05,70,8.444095
7.891142e-05,70,8.444103
9.3805254e-05,70,8.444111
1.7752272e-06,70,9.349717
7.263986e-05,70,9.349757
-6.5274544e-06,70,9.349771
0.001249037,70,9.34978
0.00019321631,70,9.34979
3.2202268e-05,70,9.349799
0.00016357229,70,9.349808
3.5984584e-05,70,9.349816
0.00052266684,70,10.186465
6.5973168e-06,70,10.186503
7.868724e-05,70,10.186515
9.582116e-06,70,10.186523
0.00011834927,70,10.186531
8.736457e-06,70,10.186538
1.5381818e-05,70,10.186546
3.245611e-05,70,10.186553
0.00016109667,70,10.996581
3.4953857e-05,70,10.996621
4.336751e-05,70,10.996633
9.060537e-05,70,10.996642
0.0007781097,70,10.996649
2.6990327e-05,70,10.996656
1.6691843e-05,70,10.996664
0.00011519193,70,10.996671
1.0636168e-05,70,11.810679
1.1231493e-06,70,11.810721
5.0375205e-05,70,11.810733
5.9745613e-05,70,11.810743
0.0016424241,70,11.810752
7.057209e-05,70,11.81076
0.000100055986,70,11.810769
0.0024653145,70,11.810777
1.5520855e-05,70,12.704638
6.131716e-05,70,12.704679
0.0036598947,70,12.704691
5.1906445e-05,70,12.7047
5.7815807e-05,70,12.704708
8.8780325e-06,70,12.704716
2.1694239e-05,70,12.704723
4.622384e-05,70,12.70473
6.761178e-05,70,13.500546
4.6691137e-05,70,13.500586
0.0001444562,70,13.500598
4.3184642e-05,70,13.500607
0.00029722668,70,13.500615
1.3410169e-06,70,13.500622
1.3782608e-05,70,13.50063
5.432646e-05,70,13.500637
1.1561673e-05,70,14.302909
0.00044290948,70,14.302954
0.00013953599,70,14.302969
0.00022294724,70,14.302978
0.00043353476,70,14.302986
2.5452515e-05,70,14.302994
0.00011257148,70,14.303003
0.000100486504,70,14.30301
9.720141e-05,70,15.122662
2.2909417e-06,70,15.122699
0.00011535305,70,15.122711
5.788249e-05,70,15.12272
0.00010360107,70,15.122728
1.9500349e-05,70,15.122736
9.7683165e-05,70,15.122743
2.2428689e-05,70,15.12275
9.1474125e-05,70,16.038342
0.00015772381,70,16.038385
0.00014311081,70,16.038398
0.00014563154,70,16.038406
5.0099272e-05,70,16.038414
2.7249258e-05,70,16.038421
-3.593944e-07,70,16.038436
6.1272294e-05,70,16.038443
0.00012409536,70,16.845737
0.00055650866,70,16.845786
0.0013954917,70,16.845798
5.096733e-05,70,16.845805
2.1675805e-05,70,16.845812
0.0022390948,70,16.845818
7.8647594e-05,70,16.845824
1.0612571e-05,70,16.84583
2.5118647e-05,70,17.667284
0.0023602964,70,17.667326
9.2147035e-05,70,17.667339
0.00018437725,70,17.667348
0.00096057507,70,17.667356
2.4627248e-05,70,17.667364
0.0003175639,70,17.667372
2.7305035e-05,70,17.66738
3.0198444e-05,70,18.580487
8.4024636e-05,70,18.580529
0.00058599043,70,18.580542
3.9047132e-05,70,18.580551
0.00015362557,70,18.580559
3.8852945e-06,70,18.580566
5.8175014e-05,70,18.580574
0.00016186334,70,18.580581
0.0005019666,70,19.406082
3.7982045e-05,70,19.406126
3.968418e-05,70,19.406139
5.040003e-05,70,19.406149
4.0412437e-05,70,19.406158
0.0016065083,70,19.406166
0.00060797617,70,19.406175
0.00077891705,70,19.406183
7.97482e-05,70,20.237085
5.8179234e-05,70,20.237127
4.4520384e-05,70,20.237139
3.1215353e-05,70,20.237147
5.9232058e-05,70,20.237155
8.706877e-06,70,20.237162
1.1615637e-05,70,20.23717
4.018095e-05,70,20.237177
0.00013827153,70,21.052161
9.707212e-05,70,21.052208
0.0010767851,70,21.052221
7.798454e-05,70,21.05223
0.00014746493,70,21.052238
0.00011781631,70,21.052245
0.0020719012,70,21.052252
5.8368732e-05,70,21.052259
0.0001238491,70,21.963707
3.5543002e-05,70,21.963751
0.00026623404,70,21.963763
6.138063e-05,70,21.963772
2.6384358e-05,70,21.96378
-1.2576489e-06,70,21.963787
7.539253e-05,70,21.963795
3.193548e-05,70,21.963802
3.7984326e-05,70,22.779273
0.00017815584,70,22.779315
5.3856147e-05,70,22.779327
1.1402537e-05,70,22.779335
8.1384766e-05,70,22.779343
4.389183e-05,70,22.779351
3.175685e-05,70,22.779358
7.138165e-05,70,22.779366
3.9039107e-05,70,23.580896
-8.416327e-07,70,23.58094
-1.3969781e-06,70,23.580951
4.477763e-05,70,23.58096
-4.9119603e-06,70,23.580968
4.3448566e-05,70,23.580976
6.0512637e-05,70,23.580983
3.2271619e-06,70,23.58099
5.3970292e-05,70,24.407047
2.1164302e-05,70,24.40709
5.674734e-05,70,24.407103
0.00012580195,70,24.407113
0.00089275645,70,24.407122
4.9796203e-05,70,24.407131
5.6693963e-05,70,24.407139
0.0002543278,70,24.407147
3.0073483e-05,70,25.329657
-4.8665256e-06,70,25.329701
0.000114533235,70,25.329714
5.6317756e-05,70,25.329722
1.3941675e-05,70,25.32973
3.3314394e-05,70,25.329738
0.009587138,70,25.329745
5.4378295e-05,70,25.329752
6.3924985e-05,70,26.139361
0.00012440274,70,26.139399
0.00062209286,70,26.139411
3.1282358e-05,70,26.139421
0.00018207093,70,26.139428
9.468346e-05,70,26.139436
2.9624713e-05,70,26.139444
5.315237e-06,70,26.139451
2.3635777e-05,70,26.960812
-5.3372446e-07,70,26.960859
1.2974207e-05,70,26.960873
5.8210702e-05,70,26.960881
0.00011287876,70,26.96089
0.000112227935,70,26.960898
5.695485e-05,70,26.960905
0.001394191,70,26.960912
0.0013952728,70,27.878405
8.679099e-05,70,27.878446
5.041148e-05,70,27.878459
2.3684044e-05,70,27.878468
6.309348e-05,70,27.878476
4.1538024e-05,70,27.878484
1.3989658e-05,70,27.878491
0.00010470717,70,27.878498
4.7163834e-05,70,28.709768
0.0014529112,70,28.709807
5.8403704e-05,70,28.70982
0.00014313005,70,28.709829
3.0251163e-05,70,28.709836
6.252288e-05,70,28.709844
2.8244609e-05,70,28.709851
1.10030305e-05,70,28.709859
4.5651e-05,70,29.528015
-1.8632638e-06,70,29.528059
0.0008749282,70,29.528071
0.00011332029,70,29.52808
2.3036087e-06,70,29.528088
5.2277464e-05,70,29.528095
3.8669565e-05,70,29.528103
8.835334e-06,70,29.52811
0.00017464874,70,30.335249
6.653614e-05,70,30.33529
0.00014136048,70,30.335302
5.214167e-05,70,30.335311
2.9606354e-05,70,30.335318
0.00013167376,70,30.335325
2.0835036e-05,70,30.335332
0.0008229368,70,30.33534
6.188452e-05,70,31.250159
0.00056217785,70,31.250209
0.00025505424,70,31.250222
3.742462e-05,70,31.250232
8.5104635e-05,70,31.25024
0.00020850908,70,31.250247
1.9726062e-05,70,31.250254
6.034467e-05,70,31.250262
4.9560635e-06,70,32.054107
-8.0160044e-07,70,32.054151
7.70567e-05,70,32.054164
2.104127e-05,70,32.05418
4.623027e-06,70,32.054196
2.1726424e-05,70,32.054204
0.00016383461,70,32.054211
9.9227036e-05,70,32.054218
6.864541e-05,70,32.898622
7.915903e-05,70,32.89866
3.7482925e-05,70,32.89867
5.3642318e-05,70,32.898678
0.00045679603,70,32.898684
2.1577907e-05,70,32.898691
5.43586e-05,70,32.898698
5.5136035e-05,70,32.898703
1.629406e-05,70,33.737534
3.870707e-05,70,33.737572
4.3461703e-05,70,33.737584
5.600121e-06,70,33.737591
0.0008105142,70,33.737597
2.5290785e-05,70,33.737604
1.2360761e-05,70,33.73761
5.6722347e-05,70,33.737617
0.00011433677,70,34.646873
0.0001144096,70,34.646928
7.594957e-05,70,34.646946
2.8612543e-05,70,34.646963
0.0009652777,70,34.646978
8.194587e-05,70,34.646992
2.4913177e-05,70,34.647001
1.905964e-05,70,34.647008
6.6561406e-05,70,35.478651
2.4304303e-05,70,35.478692
0.00017939883,70,35.478705
7.706203e-05,70,35.478715
9.894233e-06,70,35.478723
4.9525694e-05,70,35.478731
4.5900888e-05,70,35.478738
5.729249e-05,70,35.478745
4.6605226e-05,70,36.311638
8.0110236e-05,70,36.311681
0.00018420645,70,36.319504
0.00017590512,70,36.319522
8.47819e-05,70,36.319532
2.0296691e-05,70,36.319542
0.0011135704,70,36.319551
1.4724567e-06,70,36.319561
0.0024904122,70,37.222337
0.0002081322,70,37.222377
5.1684125e-05,70,37.22239
4.6685174e-05,70,37.222398
7.325855e-05,70,37.222407
0.000246311,70,37.222414
8.288417e-05,70,37.222422
3.25728e-05,70,37.222429
6.568049e-05,70,38.0568
0.00038517575,70,38.056842
1.5656738e-06,70,38.056855
2.5146388e-05,70,38.056863
3.1885775e-05,70,38.056871
0.0014167008,70,38.056878
2.8067825e-06,70,38.056886
0.00049134926,70,38.056893
4.9222115e-05,70,38.908995
8.5955675e-05,70,38.909038
3.3548164e-05,70,38.909051
2.9465391e-05,70,38.909059
2.5617297e-05,70,38.909066
0.0009683734,70,38.909074
0.003011375,70,38.909081
0.0011260002,70,38.909089
2.4345063e-05,70,39.74725
0.0012186534,70,39.747288
6.7086425e-05,70,39.7473
8.842271e-05,70,39.747309
4.5970934e-05,70,39.747317
4.5992132e-05,70,39.747324
0.0038776416,70,39.747332
6.8064866e-05,70,39.747339
0.0012284169,70,40.657403
0.00017742235,70,40.657449
2.030915e-05,70,40.657462
0.00018437588,70,40.65747
4.9968676e-05,70,40.657479
3.2011303e-05,70,40.657486
0.00036351418,70,40.657493
2.166318e-05,70,40.657501
0.00015441653,70,41.475525
3.675196e-05,70,41.475569
6.365975e-05,70,41.483391
5.525373e-05,70,41.483408
0.00019231689,70,41.483418
2.7076916e-05,70,41.483428
0.00048633685,70,41.483438
1.4097589e-05,70,41.483446
2.3837524e-06,70,42.31138
2.552696e-05,70,42.311421
6.1585015e-05,70,42.311433
6.202971e-05,70,42.311441
9.777914e-05,70,42.311449
0.0014975653,70,42.311456
0.00017239619,70,42.311465
0.00016761333,70,42.311472
6.0619197e-05,70,43.137086
0.0013571285,70,43.137124
0.0011240169,70,43.137136
2.0258452e-05,70,43.137145
0.00020575465,70,43.137153
1.6970702e-05,70,43.13716
9.828947e-05,70,43.137168
5.9465332e-05,70,43.137175
7.5473654e-05,70,44.040838
3.888081e-05,70,44.040878
1.5931497e-05,70,44.04089
0.00012568099,70,44.040899
8.970346e-05,70,44.040907
2.4378109e-05,70,44.040915
0.011298957,70,44.040922
0.0014593475,70,44.04093
0.00013311455,70,44.840184
6.188612e-05,70,44.840234
5.7444413e-06,70,44.840246
7.47066e-05,70,44.840255
-6.151737e-07,70,44.840263
3.34454e-05,70,44.84027
5.6704437e-05,70,44.840277
-2.3413804e-06,70,44.840285
3.9136714e-05,70,45.637346
2.6957907e-05,70,45.637389
4.168952e-05,70,45.637401
4.0906914e-05,70,45.637409
0.0008223597,70,45.637417
5.0169685e-05,70,45.637425
3.617476e-05,70,45.637432
6.7576555e-05,70,45.637439
7.440556e-05,70,46.553632
2.801633e-05,70,46.553672
5.4738706e-05,70,46.561498
0.00045717438,70,46.56152
0.00029624003,70,46.561532
0.0010884954,70,46.561542
0.0022044345,70,46.561551
9.613282e-05,70,46.56156
0.0021982682,70,47.397347
5.2618725e-05,70,47.39739
0.006304234,70,47.397402
0.00013841856,70,47.39741
0.00010556169,70,47.397418
2.3541601e-05,70,47.397426
2.6744841e-05,70,47.397433
5.9417725e-05,70,47.397441
0.0038077189,70,48.205025
0.00012778258,70,48.205065
2.2369732e-06,70,48.205076
6.761354e-05,70,48.205083
0.00013983398,70,48.20509
2.10614e-05,70,48.205096
4.2134103e-05,70,48.205103
3.5267876e-05,70,48.205109
2.1360547e-06,70,49.007665
0.00021226634,70,49.007705
1.7945782e-05,70,49.007716
4.4913184e-05,70,49.007724
2.2049282e-05,70,49.00773
0.00013687565,70,49.007736
2.3253547e-06,70,49.007743
0.00063580344,70,49.007748
0.0023909444,70,49.974115
0.00012125223,70,49.974161
0.0002961504,70,49.974173
0.00011834602,70,49.974181
0.00046637846,70,49.974195
9.205334e-06,70,49.974204
6.599882e-05,70,49.974211
6.132178e-05,70,49.974217
0.0002566961,70,50.840741
7.7229415e-06,70,50.840787
0.00015717647,70,50.840799
4.7645553e-05,70,50.840808
1.3205196e-05,70,50.840816
0.00018885895,70,50.840823
0.0009965337,70,50.840831
0.00015696284,70,50.840838
1.435882e-05,70,51.703814
4.2927495e-06,70,51.703862
6.008045e-05,70,51.711685
5.8084144e-05,70,51.711711
3.9900715e-05,70,51.711725
5.6178294e-05,70,51.711736
1.7128568e-05,70,51.711745
4.602232e-05,70,51.711754
4.9695964e-06,70,52.585324
4.8958995e-05,70,52.585366
2.9016981e-05,70,52.585379
5.2177948e-05,70,52.585389
4.589834e-05,70,52.585397
6.07412e-05,70,52.585405
0.00024765235,70,52.585413
7.2958355e-05,70,52.585422
0.0026626654,70,53.556657
0.0002570962,70,53.556701
0.061841663,70,53.556713
-4.514837e-06,70,53.556721
0.0014811354,70,53.55673
0.00019723055,70,53.556738
0.0016759373,70,53.556745
5.2575593e-05,70,53.556753
0.00014306445,70,54.393441
6.53181e-05,70,54.393483
0.00020380795,70,54.393495
0.0027299162,70,54.393505
0.0004239041,70,54.393512
0.00015161387,70,54.39352
0.0014422579,70,54.393528
0.0010860681,70,54.393535
0.0014382149,70,55.21814
0.0019439765,70,55.218181
2.3045672e-05,70,55.218201
3.1854557e-05,70,55.21821
0.00021719234,70,55.218218
0.003172573,70,55.218225
0.0035040556,70,55.218233
-2.347387e-06,70,55.21824
0.001384904,70,56.14194
3.303244e-05,70,56.141981
-1.542488e-06,70,56.141993
8.603162e-05,70,56.142002
5.6070017e-05,70,56.142009
5.4326745e-05,70,56.142017
8.5008156e-05,70,56.142024
4.0852196e-05,70,56.142031
4.7239715e-05,70,56.975566
0.0004790854,70,56.97561
0.002870569,70,56.983428
3.2422915e-05,70,56.983454
0.00012912482,70,56.983467
9.777153e-06,70,56.983477
3.594596e-05,70,56.983487
2.3931158e-05,70,56.983496
0.00010308517,70,57.832561
2.887044e-05,70,57.832607
0.00045231258,70,57.83262
3.721978e-05,70,57.832628
0.0001443663,70,57.832636
0.0032886453,70,57.832643
-3.079871e-07,70,57.83265
2.8057893e-06,70,57.832658
0.00010622143,70,58.651056
6.775664e-06,70,58.651098
1.43747575e-05,70,58.651111
