#{"t_start": 1765088569.8635752, "env_id": "None"}
r,l,t
9.233369e-05,70,0.923835
-5.488126e-07,70,0.923882
2.8254064e-05,70,0.923897
4.692468e-05,70,0.923908
0.00021040045,70,0.923917
9.242053e-05,70,0.923927
5.3957763e-05,70,0.923936
1.5131338e-05,70,0.923944
4.1593037e-05,70,1.806584
3.4473876e-05,70,1.806633
2.4856698e-05,70,1.806644
6.2138943e-06,70,1.806652
0.0012487652,70,1.806659
-8.4964387e-07,70,1.806666
0.0023021272,70,1.806673
2.8782506e-05,70,1.806679
0.0043204264,70,2.661666
3.8716225e-06,70,2.661706
0.0033572821,70,2.661717
0.0007758734,70,2.661725
2.0891707e-07,70,2.661731
0.00016818679,70,2.661737
7.1920724e-05,70,2.661743
0.0011335128,70,2.661749
0.00038569028,70,3.570708
-7.303452e-07,70,3.570747
-1.2548245e-06,70,3.570765
0.0018314002,70,3.570773
-1.3278446e-07,70,3.57078
0.0003172082,70,3.570786
6.491586e-05,70,3.570793
0.00054943934,70,3.570799
0.00013772657,70,4.369782
0.00671278,70,4.369819
6.920316e-05,70,4.36983
0.00017050689,70,4.369838
0.00057830213,70,4.369845
0.00012560104,70,4.369851
5.5564058e-05,70,4.369857
1.991818e-05,70,4.369864
0.0002205897,70,5.169453
0.00029297126,70,5.16949
3.3203727e-05,70,5.169501
0.0021170825,70,5.169509
0.0001840115,70,5.169516
0.0006165432,70,5.169522
9.3375806e-05,70,5.169528
0.000113894515,70,5.169534
1.9622363e-05,70,5.966066
1.5487698e-05,70,5.966106
1.3975536e-05,70,5.966118
0.00020782917,70,5.966126
0.00020736201,70,5.966134
1.8901657e-05,70,5.966142
9.633192e-05,70,5.966149
0.00013855398,70,5.966156
0.007179707,70,6.858381
0.0011739285,70,6.858421
2.8305632e-05,70,6.858433
6.677087e-05,70,6.858442
1.4966254e-05,70,6.858449
0.00013534908,70,6.858457
8.08579e-05,70,6.858464
0.0064200447,70,6.858471
0.0034768404,70,7.6669
0.0003037328,70,7.666939
0.002517678,70,7.666951
0.0018912933,70,7.66696
2.3716704e-05,70,7.666968
-4.6373202e-08,70,7.666975
6.4637534e-05,70,7.666983
6.976707e-05,70,7.66699
1.5381382e-05,70,8.552936
2.396012e-05,70,8.55298
3.305377e-05,70,8.552992
-4.8875563e-07,70,8.553
0.00017824804,70,8.553008
5.3860407e-05,70,8.553016
7.891142e-05,70,8.553023
0.00013486519,70,8.55303
1.7752272e-06,70,9.502589
9.775002e-05,70,9.502634
-6.3983384e-06,70,9.502645
0.0012490368,70,9.502654
0.00020886309,70,9.502663
4.6107594e-05,70,9.502671
0.000207525,70,9.502678
5.0117582e-05,70,9.502686
0.00052266684,70,10.298132
6.5973168e-06,70,10.298171
7.868724e-05,70,10.298183
1.1508046e-05,70,10.298191
0.00012514477,70,10.298199
8.736457e-06,70,10.298206
2.9989493e-05,70,10.298213
5.631819e-05,70,10.298221
0.00016109666,70,11.091927
4.414933e-05,70,11.091965
5.6606754e-05,70,11.091977
0.000106712236,70,11.091985
0.00093071465,70,11.091993
2.5784542e-05,70,11.092
1.7085822e-05,70,11.092007
0.00012984124,70,11.092014
9.434205e-06,70,11.890281
1.2105838e-06,70,11.890322
9.3793584e-05,70,11.890334
8.659289e-05,70,11.890342
0.0017743025,70,11.89035
7.6675846e-05,70,11.890358
0.000109401335,70,11.890366
0.002597252,70,11.890373
0.00019828386,70,12.792908
6.935043e-05,70,12.79295
0.0036598947,70,12.792962
8.698001e-05,70,12.792971
6.863002e-05,70,12.792978
1.1609972e-05,70,12.792985
3.5798806e-05,70,12.792993
5.536974e-05,70,12.793
7.565503e-05,70,13.64509
6.305426e-05,70,13.645132
0.00014428122,70,13.645145
4.3184642e-05,70,13.645155
0.000350415,70,13.645163
7.591312e-07,70,13.645171
1.3782608e-05,70,13.645179
7.909368e-05,70,13.645187
2.3141196e-05,70,14.52302
0.00044290948,70,14.523062
0.00013953599,70,14.523074
0.00020921974,70,14.523083
0.0004834101,70,14.523091
2.484183e-05,70,14.523098
7.058204e-05,70,14.523106
0.00015302908,70,14.523113
0.00011716257,70,15.354867
3.8134876e-06,70,15.354906
0.00015444825,70,15.354918
7.93277e-05,70,15.354926
0.00016783694,70,15.354934
3.147344e-05,70,15.354942
9.837945e-05,70,15.354949
2.3639213e-05,70,15.354956
9.795119e-05,70,16.300261
0.00019987635,70,16.300303
0.0001781318,70,16.300315
0.00014563154,70,16.300325
6.452789e-05,70,16.300334
2.5587971e-05,70,16.300342
-4.3931533e-07,70,16.300351
6.187467e-05,70,16.300367
0.00012409536,70,17.12845
0.0014337335,70,17.128488
0.0014057885,70,17.1285
6.926546e-05,70,17.128509
3.5709505e-05,70,17.128517
0.0010110982,70,17.128524
8.012906e-05,70,17.128531
9.868102e-06,70,17.128538
2.7585345e-05,70,17.990986
0.0032167488,70,17.991025
9.2147035e-05,70,17.991037
0.00018437725,70,17.991045
0.0011376982,70,17.991053
3.3245615e-05,70,17.99106
0.0003629154,70,17.991067
2.7305035e-05,70,17.991074
4.5833876e-05,70,18.949885
0.0001208872,70,18.949928
0.00067493384,70,18.949939
5.8046557e-05,70,18.949947
3.3169854e-05,70,18.949954
4.8585043e-06,70,18.94996
6.9042755e-05,70,18.949966
0.000199964,70,18.949973
0.0007226156,70,19.795524
3.7982045e-05,70,19.79556
4.1576164e-05,70,19.795571
7.565929e-05,70,19.795578
4.3866807e-05,70,19.795585
0.0019406241,70,19.795591
