#{"t_start": 1765087391.3980985, "env_id": "None"}
r,l,t
0.0004734404,70,0.85165
-5.206037e-06,70,0.851691
0.00012374917,70,0.851702
0.00024678325,70,0.85171
0.00081780565,70,0.851718
0.00053433084,70,0.851724
0.0003337888,70,0.85173
0.00010810684,70,0.851737
0.000258793,70,1.680395
0.00016664455,70,1.680436
0.00016209504,70,1.680448
4.8070313e-05,70,1.680456
0.0033270167,70,1.680464
-8.2613715e-06,70,1.68047
0.0052962922,70,1.680477
0.00012621714,70,1.680484
0.011094037,70,2.516663
3.3460088e-05,70,2.516702
0.008161304,70,2.516715
0.0025922915,70,2.516722
-2.0435255e-07,70,2.51673
0.0007520099,70,2.516738
0.00032285927,70,2.516745
0.0037305807,70,2.516752
0.0013962026,70,3.444364
-6.6524503e-06,70,3.444404
-1.0531497e-05,70,3.444417
0.0049062534,70,3.444425
1.0435228e-06,70,3.444432
0.001338613,70,3.444439
0.00034819817,70,3.444446
0.002013975,70,3.444453
0.0006834952,70,4.28211
0.015895152,70,4.282151
0.00038967503,70,4.282163
0.0006642549,70,4.282172
0.0014001385,70,4.282179
0.000493581,70,4.282186
0.00032287772,70,4.282193
0.00013836216,70,4.2822
0.0008167446,70,5.118309
0.00080822833,70,5.118352
0.00021878029,70,5.118365
0.0049381666,70,5.118375
0.0007537247,70,5.118384
0.002377133,70,5.118392
0.000515985,70,5.1184
0.00040042933,70,5.118408
7.385039e-05,70,5.947317
9.177138e-05,70,5.94736
9.6771764e-05,70,5.947371
0.0009995122,70,5.94738
0.0006759056,70,5.947388
0.00013129516,70,5.947396
0.00043151082,70,5.947403
0.0005779999,70,5.94741
0.016612934,70,6.872517
0.0072299633,70,6.872559
0.00013960805,70,6.872571
0.0003362321,70,6.87258
9.2968985e-05,70,6.872587
0.000680701,70,6.872595
0.0004345733,70,6.872602
0.015839236,70,6.872609
0.008033772,70,7.682067
0.0013120701,70,7.682108
0.0055510765,70,7.68212
0.00508344,70,7.682129
0.00010964874,70,7.682136
-1.4319994e-06,70,7.682144
0.000383997,70,7.682151
0.00025841972,70,7.682158
8.6239525e-05,70,8.50874
0.00016487663,70,8.50878
0.00016619984,70,8.508793
-5.6248573e-06,70,8.508802
0.0008288133,70,8.50881
0.00020218999,70,8.508817
0.00046924042,70,8.508825
0.00054007734,70,8.508832
1.37214865e-05,70,9.415901
0.00043593196,70,9.415943
-5.5351244e-05,70,9.415955
0.0043195183,70,9.415963
0.0009815223,70,9.415971
0.0002051244,70,9.415978
0.0008084822,70,9.415986
0.00023280873,70,9.415993
0.0021624323,70,10.215589
4.9447346e-05,70,10.215632
0.00046230835,70,10.215644
7.513335e-05,70,10.215652
0.0006065756,70,10.215659
6.971527e-05,70,10.215667
0.00012098928,70,10.215674
0.00023446202,70,10.215681
0.0008335177,70,11.018089
0.00023112514,70,11.01813
0.00028224004,70,11.018142
0.00052925677,70,11.018151
0.002966888,70,11.018159
0.00017341938,70,11.018166
0.00012258546,70,11.018173
0.00062941684,70,11.018181
5.320352e-05,70,11.830547
7.830589e-06,70,11.830586
0.00033276196,70,11.830598
0.00036292215,70,11.830607
0.002015464,70,11.830615
0.0004190891,70,11.830623
0.00062207354,70,11.83063
0.0074586673,70,11.830637
0.00010845223,70,12.751962
0.00037589815,70,12.752009
0.009899227,70,12.752021
0.00031496887,70,12.75203
0.00035839368,70,12.752037
6.806762e-05,70,12.752044
0.00015874412,70,12.752052
0.0002813412,70,12.752059
0.00041726447,70,13.554747
0.00029719668,70,13.554785
0.0007523932,70,13.554797
0.00026461447,70,13.554806
0.018112965,70,13.554813
1.1401527e-05,70,13.554821
0.000101149024,70,13.554828
0.00037665435,70,13.554836
9.5278854e-05,70,14.379169
0.0018235118,70,14.379207
0.0007569565,70,14.379219
0.0011045623,70,14.379228
0.001802472,70,14.379244
0.00016881526,70,14.379252
0.0007162746,70,14.379259
0.0005725028,70,14.379267
0.00054169085,70,15.211021
1.999997e-05,70,15.211068
0.0005157485,70,15.21108
0.0003654947,70,15.211088
0.00058076694,70,15.211096
0.00014380192,70,15.211104
0.00049859367,70,15.211111
0.0001589295,70,15.211118
0.00052549574,70,16.09672
0.00077562087,70,16.096761
0.0007450186,70,16.096774
0.0007609438,70,16.096782
0.00030443963,70,16.09679
0.00018341179,70,16.096798
-3.933271e-06,70,16.096806
0.00045722738,70,16.096813
0.00066357205,70,16.899489
0.0022205925,70,16.89953
0.0048422986,70,16.899541
0.00031331737,70,16.899549
0.00015726752,70,16.899555
0.0068689603,70,16.899561
0.00043535366,70,16.899568
6.6545654e-05,70,16.899574
0.00017154744,70,17.700938
0.0073628942,70,17.700978
0.0005236907,70,17.70099
0.00092273095,70,17.700997
0.0034069486,70,17.701004
0.00016702378,70,17.701011
0.001449422,70,17.701017
0.00018999519,70,17.701023
0.00020439237,70,18.601388
0.00049071084,70,18.601429
0.0022772118,70,18.60144
0.00025084443,70,18.601449
0.00019840026,70,18.601456
3.0729927e-05,70,18.601462
0.00035881758,70,18.601468
0.0007719457,70,18.601474
0.0018543656,70,19.411355
0.00024744202,70,19.411397
0.0002634062,70,19.411408
0.0003267167,70,19.411416
0.00026195543,70,19.411423
0.0053399852,70,19.41143
0.002361206,70,19.411436
